,value,BIRTHDATE,HEIGHT,WEIGHT,PTS,AST,REB,PIE,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,lengthHandInches,widthHandInches,timeModifiedLaneAgility
40,10375678.0,1988-07-21,83.0,265.0,7.6,1.7,7.5,0.108,81.75,250.0,90.0,113.5,26.0,30.5,12.3,3.27,8.0,7.5,83.0,,,
41,447155.0,1990-06-26,77.0,212.0,1.0,0.0,0.5,-0.011,76.25,221.8,81.5,99.5,36.5,42.0,11.1,3.18,18.0,6.5,77.5,9.0,9.0,
42,41254920.0,1989-08-26,77.0,220.0,25.3,11.2,7.9,0.17,76.0,222.0,82.75,103.5,31.5,37.0,11.1,3.13,17.0,10.1,77.25,,,
43,1620564.0,1986-08-28,80.0,235.0,9.8,1.5,3.8,0.073,79.0,228.0,85.25,103.0,33.5,38.0,12.0,3.34,17.0,3.7,81.5,,,
44,16071429.0,1991-09-06,78.0,220.0,14.7,1.8,3.5,0.085,76.75,215.0,78.0,100.0,28.5,33.5,11.11,3.31,,6.2,78.25,8.5,9.75,2.92
45,40108950.0,1988-09-29,82.0,240.0,29.0,5.3,7.3,0.163,81.0,215.0,88.75,110.0,26.0,33.5,12.33,3.45,0.0,6.6,82.25,,,
46,33460350.0,1992-03-23,74.0,195.0,28.1,5.7,4.8,0.15,73.75,191.0,76.0,99.0,,,,,,10.2,75.5,8.25,9.25,
47,554988.0,1985-07-19,83.0,250.0,13.7,1.7,4.5,0.096,82.0,234.0,88.75,110.0,26.5,34.0,12.02,3.43,8.0,8.7,83.25,,,
48,2090040.0,1997-03-13,76.0,190.0,7.8,1.1,1.8,0.059,76.0,188.6,78.75,100.0,31.0,39.5,11.26,3.11,8.0,4.85,77.25,8.0,9.0,3.21
49,1517981.0,1999-04-17,83.0,215.0,9.8,0.9,4.3,0.143,82.0,216.6,86.5,110.0,31.5,36.5,11.26,3.36,8.0,4.5,83.75,9.25,9.5,3.47
50,263995.0,1995-08-24,82.0,257.0,0.0,0.3,0.3,-0.094,80.0,247.1,88.25,108.0,31.0,37.0,11.45,3.28,,7.3,81.5,9.75,11.75,3.29
51,217845.0,1993-02-03,82.0,231.0,2.3,0.3,2.0,-0.012,81.5,207.2,86.5,109.0,31.0,34.5,11.49,3.32,0.0,5.15,82.5,8.75,9.5,3.2
52,11454048.0,1993-04-06,77.0,215.0,6.7,3.0,4.3,0.102,76.5,204.9,80.25,103.0,,,,,,5.35,78.0,8.25,9.0,
53,1824003.0,,,,,,,,,,,,,,,,,,,,,
54,99020.0,1997-09-23,80.0,255.0,0.7,0.3,1.5,0.037,79.25,245.4,84.5,106.5,27.5,32.0,11.32,3.28,11.0,6.1,80.75,9.5,10.75,3.1
55,1620564.0,1992-05-07,75.0,186.0,5.2,0.9,1.8,0.065,,,,,,,,,,,,,,
56,3500000.0,1992-08-28,80.0,255.0,5.5,1.3,5.5,0.067,,,,,,,,,,,,,,
57,2250000.0,1989-07-25,75.0,210.0,4.7,2.5,1.7,0.07,,,,,,,,,,,,,,
58,1517981.0,1995-09-28,77.0,205.0,5.3,1.1,2.6,0.076,76.75,195.8,82.0,101.5,29.0,36.5,10.43,3.26,6.0,7.0,78.0,8.5,8.75,2.75
59,1517981.0,1995-09-28,77.0,205.0,3.8,1.2,2.4,0.091,76.75,188.6,82.25,102.5,29.0,36.5,10.64,3.09,4.0,5.45,78.0,8.5,9.0,3.05
60,1517981.0,1995-09-28,77.0,205.0,3.8,1.2,2.4,0.091,76.75,192.2,82.25,102.5,28.0,35.5,10.44,3.32,7.0,5.0,77.5,8.25,9.0,2.99
61,15415730.0,1992-10-05,83.0,240.0,9.2,2.3,7.1,0.101,82.75,230.0,82.75,106.0,35.5,37.5,10.82,3.15,17.0,4.75,84.25,8.5,10.5,2.69
62,1663861.0,1995-02-22,73.0,195.0,13.1,5.2,2.7,0.09,,,,,,,,,,,,,,
63,28500000.0,1990-03-23,79.0,225.0,20.4,4.2,5.6,0.125,78.75,211.0,79.75,103.0,30.5,34.5,11.73,3.22,10.0,6.9,80.0,8.5,9.25,
64,1517981.0,1998-01-31,81.0,205.0,4.5,0.5,2.4,0.049,80.25,191.6,84.25,105.5,29.5,33.5,11.54,3.32,0.0,5.7,81.75,9.0,10.0,3.23
65,7839960.0,,,,,,,,,,,,,,,,,,,,,
66,5345687.0,1998-02-04,75.0,200.0,12.3,1.8,2.7,0.093,,,,,,,,,,,,,,
67,3934320.0,1998-03-21,78.0,225.0,9.6,2.0,5.6,0.088,77.25,220.4,81.5,103.5,,,,,,5.9,78.75,9.0,9.75,
68,1000000.0,,,,,,,,82.5,241.6,86.25,110.0,30.0,34.0,11.42,3.25,,8.5,83.5,9.0,9.0,2.92
69,9043478.0,1988-12-14,80.0,230.0,8.6,2.3,4.7,0.086,,,,,,,,,,,,,,
70,4023600.0,,,,,,,,78.5,223.0,86.5,107.0,27.0,34.0,11.39,3.2,3.0,6.85,80.0,9.0,10.25,3.43
71,18900000.0,1994-03-17,73.0,190.0,20.2,3.3,3.8,0.112,72.5,190.2,80.25,98.5,33.0,38.0,10.84,3.15,7.0,5.6,74.25,8.25,8.5,2.84
72,1350000.0,,,,,,,,,,,,,,,,,,,,,
73,9720900.0,,,,,,,,,,,,,,,,,,,,,
74,5572680.0,2000-02-16,77.0,195.0,15.2,4.7,4.6,0.087,75.5,191.4,77.0,97.5,,,,,,4.3,76.75,7.75,9.0,
75,7529020.0,1992-07-07,83.0,270.0,1.6,0.7,1.7,0.166,,,,,,,,,,,,,,
76,5000000.0,1992-04-04,80.0,245.0,9.4,1.6,5.3,0.094,,,,,,,,,,,,,,
77,4642800.0,1993-11-16,76.0,220.0,7.4,1.7,3.9,0.095,76.0,210.4,82.75,102.0,27.0,32.0,10.51,3.46,,9.2,77.75,8.5,9.75,3.22
78,4767000.0,1986-05-08,77.0,195.0,8.5,2.0,3.1,0.056,,,,,,,,,,,,,,
79,1517981.0,1993-07-23,76.0,205.0,4.2,0.4,2.1,0.069,,,,,,,,,,,,,,
80,6731508.0,1997-05-22,84.0,240.0,17.7,0.9,6.0,0.112,,,,,,,,,,,,,,
81,26000000.0,1990-10-24,83.0,260.0,24.5,3.8,11.7,0.172,82.25,259.8,88.5,112.5,23.5,25.0,12.02,3.27,8.0,6.1,83.75,9.25,10.25,
82,97261.0,,,,,,,,,,,,,,,,,,,,,
83,7068360.0,,,,,,,,,,,,,,,,,,,,,
84,3000000.0,1994-03-26,75.0,195.0,3.2,1.2,1.6,0.071,,,,,,,,,,,,,,
85,13545000.0,1988-06-21,80.0,235.0,12.2,4.4,6.5,0.131,77.75,210.0,83.5,106.0,34.5,37.0,11.06,3.19,13.0,4.9,79.5,,,
86,10000000.0,1991-10-30,79.0,210.0,7.5,4.8,2.5,0.102,78.5,200.6,79.25,100.0,,,,,,5.2,79.5,8.5,9.5,
87,3372840.0,,,,,,,,,,,,,,,,,,,,,
88,19500000.0,1995-03-10,77.0,200.0,28.2,4.9,5.1,0.146,76.5,180.9,80.25,100.0,33.5,41.5,10.42,3.19,,4.7,77.75,8.25,8.75,2.8
89,27957238.0,1993-08-10,82.0,279.0,17.5,2.6,13.5,0.153,81.75,278.6,90.25,109.5,31.5,33.5,10.83,3.39,10.0,7.5,83.75,9.5,9.5,
90,8840580.0,1995-04-08,79.0,230.0,10.1,2.7,3.6,0.076,,,,,,,,,,,,,,
91,4991880.0,1999-01-04,73.0,190.0,24.0,4.3,2.8,0.112,72.5,183.0,79.25,98.5,,,,,,5.6,73.5,8.25,8.5,
92,2000000.0,1994-05-06,77.0,210.0,6.7,2.2,1.9,0.077,76.5,205.2,81.0,100.0,31.5,38.0,11.18,3.13,13.0,5.3,77.5,8.5,9.25,3.03
93,6720720.0,2000-01-26,73.0,192.0,16.4,5.8,2.2,0.09,,,,,,,,,,,,,,
94,1517981.0,1996-11-20,81.0,228.0,4.1,0.8,2.3,0.083,,,,,,,,,,,,,,
95,2137440.0,1996-09-22,78.0,196.0,5.4,1.1,3.6,0.087,78.25,195.8,82.0,104.5,29.0,37.5,10.7,3.3,8.0,4.6,79.5,8.25,9.5,2.94
96,6400920.0,,,,,,,,,,,,,,,,,,,,,
97,1620564.0,1998-05-05,84.0,250.0,3.5,0.5,2.8,0.077,,,,,,,,,,,,,,
98,3909902.0,1998-04-21,83.0,243.0,12.9,1.6,9.9,0.147,81.0,233.6,89.25,109.5,31.5,35.5,11.82,3.21,4.0,7.4,82.25,9.5,10.5,3.0
99,1456667.0,1985-09-09,78.0,220.0,12.4,2.1,3.1,,,,,,,,,,,,,,,
100,31258256.0,1988-09-07,80.0,251.0,5.8,1.3,3.3,0.074,79.75,255.0,83.25,106.0,29.5,35.0,11.17,3.22,18.0,12.9,81.5,,,
101,11709091.0,,,,,,,,,,,,,,,,,,,,,
102,1620564.0,1990-09-08,75.0,200.0,3.1,3.2,1.3,0.059,,,,,,,,,,,,,,
103,110998.0,1993-03-23,73.0,180.0,2.9,0.7,0.7,0.095,72.25,179.0,76.0,96.5,24.5,31.0,11.44,3.38,14.0,6.7,74.0,7.5,8.75,3.41
104,110998.0,,,,,,,,,,,,,,,,,,,,,
105,340000.0,1997-09-24,75.0,209.0,4.0,1.0,0.0,-1.5,,,,,,,,,,,,,,
106,12250000.0,1994-03-22,79.0,218.0,8.3,1.7,3.6,0.076,78.5,220.2,83.5,102.0,34.0,36.0,10.96,3.24,,6.45,79.75,9.0,8.5,2.8
107,309355.0,1997-02-25,84.0,221.0,3.8,0.5,2.3,0.134,83.75,216.0,87.0,110.5,32.0,36.5,11.15,3.33,,6.05,84.75,8.75,9.5,3.09
108,110998.0,1993-05-09,72.0,178.0,9.5,2.5,3.5,0.071,,,,,,,,,,,,,,
109,3500000.0,1988-08-15,88.0,290.0,4.4,0.2,3.9,0.15,,,,,,,,,,,,,,
110,4000000.0,,,,,,,,,,,,,,,,,,,,,
111,11080125.0,1991-07-20,82.0,240.0,4.4,0.8,3.3,0.074,81.5,234.4,84.5,105.0,28.5,35.0,11.28,3.2,,6.2,83.0,9.0,9.25,2.88
112,1663861.0,1996-08-31,73.0,190.0,12.2,3.2,3.4,0.125,73.0,198.4,76.0,96.0,29.0,37.0,10.59,3.15,7.0,6.7,74.25,8.25,9.25,3.11
113,1620564.0,,,,,,,,,,,,,,,,,,,,,
114,13013700.0,1984-06-24,75.0,200.0,8.7,1.3,1.7,0.071,76.0,190.0,75.25,97.5,27.5,33.0,10.94,3.29,6.0,7.0,76.75,,,
115,2816760.0,,,,,,,,76.5,214.0,81.75,101.5,30.5,39.5,10.64,3.12,,6.8,77.5,8.0,8.75,2.28
116,10865952.0,1993-09-15,77.0,200.0,13.3,2.7,3.3,0.075,,,,,,,,,,,,,,
117,29467800.0,1995-08-02,87.0,240.0,19.7,1.3,8.6,0.131,,,,,,,,,,,,,,
118,8049360.0,1999-02-28,79.0,230.0,29.0,9.2,8.4,0.187,,,,,,,,,,,,,,
119,8325000.0,1992-01-29,82.0,240.0,7.8,1.4,5.4,0.082,,,,,,,,,,,,,,
120,3897436.0,1991-01-26,81.0,236.0,2.0,1.1,2.6,0.058,,,,,,,,,,,,,,
121,18975000.0,,,,,,,,,,,,,,,,,,,,,
122,3000000.0,1992-11-12,72.0,185.0,7.0,1.5,0.9,0.083,71.75,187.0,77.5,97.5,29.5,36.5,11.2,3.16,3.0,6.9,73.25,8.25,8.75,3.01
123,1289846.0,,,,,,,,73.5,170.0,73.75,96.0,30.0,34.0,10.78,3.28,,7.6,75.0,7.5,8.25,2.59
124,4100000.0,,,,,,,,,,,,,,,,,,,,,
125,18136364.0,1995-09-16,80.0,235.0,14.6,4.3,6.6,0.11,79.5,220.1,83.75,105.0,32.5,39.0,10.81,3.27,,5.05,80.75,8.75,10.5,2.76
126,2058240.0,,,,,,,,,,,,,,,,,,,,,
127,3200000.0,,,,,,,,,,,,,,,,,,,,,
128,2000000.0,1994-11-16,78.0,225.0,3.4,0.9,3.2,0.044,,,,,,,,,,,,,,
129,27285000.0,1997-02-23,75.0,215.0,21.1,4.8,4.0,0.115,,,,,,,,,,,,,,
130,7199760.0,1990-06-21,80.0,227.0,8.7,0.8,5.5,0.095,80.0,217.4,86.25,106.5,29.5,32.5,10.63,3.38,19.0,9.8,81.0,9.25,9.25,
131,4200000.0,1988-01-19,84.0,270.0,8.0,1.0,5.2,0.126,83.0,241.0,90.0,114.5,27.0,32.5,12.75,3.25,7.0,5.3,84.0,,,
132,3550800.0,,,,,,,,,,,,,,,,,,,,,
133,1723707.0,1995-06-27,74.0,183.0,10.4,3.4,2.2,0.089,73.25,175.2,76.0,96.5,28.0,33.5,11.0,3.19,8.0,6.9,74.5,8.25,8.75,3.2
134,29542010.0,1995-02-19,83.0,284.0,27.1,8.6,11.3,0.205,,,,,,,,,,,,,,
135,10000000.0,1985-02-10,79.0,257.0,9.5,1.6,5.0,0.09,78.25,258.0,85.5,105.5,28.5,32.5,11.67,3.3,15.0,9.7,79.25,,,
136,1762796.0,1996-10-25,78.0,205.0,7.7,1.6,3.8,0.087,77.25,200.6,83.0,101.0,34.0,39.0,10.84,3.15,9.0,6.1,78.75,8.5,9.5,2.98
137,1517981.0,1997-04-10,80.0,236.0,1.4,0.3,1.2,0.056,,,,,,,,,,,,,,
138,13723214.0,1991-01-06,78.0,181.0,13.0,3.2,4.1,0.081,77.0,174.4,81.75,102.5,30.0,34.0,12.5,3.6,0.0,4.1,78.0,9.0,9.5,
139,2379840.0,,,,,,,,81.25,246.8,86.0,105.5,33.0,38.0,10.94,3.2,,5.9,82.5,9.0,10.5,2.72
140,32670565.0,1989-03-16,81.0,250.0,11.6,3.5,5.0,0.085,80.5,248.4,83.25,105.0,32.0,35.5,10.95,3.28,22.0,8.2,82.0,,,
141,12600000.0,1991-08-20,75.0,200.0,6.7,2.4,2.2,0.058,74.0,186.2,77.5,99.0,27.5,35.0,10.75,3.27,5.0,9.7,75.25,8.5,10.5,
142,898310.0,,,,,,,,,,,,,,,,,,,,,
143,5686677.0,,,,,,,,,,,,,,,,,,,,,
144,2866667.0,1989-08-12,84.0,245.0,6.4,0.7,6.0,,82.0,238.8,88.0,109.0,28.0,32.5,12.75,3.4,8.0,8.35,83.5,9.0,11.0,3.26
145,2002800.0,1999-05-08,81.0,217.0,4.3,0.9,1.9,,,,,,,,,,,,,,,
146,1663861.0,1998-07-31,77.0,202.0,11.9,2.4,5.2,0.103,75.75,197.4,83.25,101.5,34.5,44.5,10.88,3.11,0.0,5.2,77.0,8.5,9.5,2.79
147,1663861.0,1998-07-31,77.0,202.0,11.9,2.4,5.2,0.103,76.25,197.0,83.5,103.0,32.5,40.5,10.53,3.1,1.0,4.45,78.0,8.75,9.0,3.14
148,3121080.0,,,,,,,,,,,,,,,,,,,,,
149,1882867.0,1995-12-15,82.0,270.0,4.3,0.3,2.3,0.1,,,,,,,,,,,,,,
150,19050000.0,1994-03-12,80.0,210.0,23.3,2.8,5.0,0.117,78.5,214.0,86.75,107.0,,,,,,3.75,79.75,9.25,9.25,
151,4767000.0,1997-02-10,80.0,207.0,13.2,2.1,4.2,0.085,,,,,,,,,,,,,,
152,5307120.0,,,,,,,,,,,,,,,,,,,,,
153,8000000.0,1990-03-05,83.0,254.0,10.3,3.6,9.5,0.124,83.25,238.2,83.0,108.0,30.5,36.0,10.89,3.29,14.0,6.15,84.5,9.75,9.5,2.76
154,5192307.0,1991-07-29,76.0,205.0,5.6,1.0,1.4,0.092,,,,,,,,,,,,,,
155,2689920.0,,,,,,,,,,,,,,,,,,,,,
156,3449400.0,2000-12-23,80.0,230.0,3.9,0.6,2.2,0.036,,,,,,,,,,,,,,
157,99020.0,,,,,,,,,,,,,,,,,,,,,
158,1620564.0,1987-11-29,76.0,207.0,10.6,1.4,1.8,0.073,76.25,202.4,78.5,100.0,31.5,38.0,11.14,3.2,13.0,5.5,77.25,,,
159,1068200.0,1999-06-04,75.0,205.0,3.7,0.9,1.2,,74.75,198.6,81.75,100.0,33.0,41.5,11.02,3.05,10.0,6.05,76.0,8.75,8.25,3.15
160,1517981.0,2000-08-18,82.0,215.0,1.7,0.0,0.0,-0.197,,,,,,,,,,,,,,
161,29542010.0,1995-02-23,79.0,197.0,17.7,2.1,4.6,0.095,,,,,,,,,,,,,,
162,1762796.0,1992-10-21,77.0,210.0,6.7,1.4,3.3,0.095,,,,,,,,,,,,,,
163,22246956.0,1990-03-04,78.0,230.0,6.1,8.4,6.6,0.097,77.75,235.6,85.25,105.0,28.0,33.0,11.01,3.4,9.0,11.3,79.5,9.0,9.5,
164,1517981.0,1996-11-04,78.0,255.0,9.5,1.3,3.2,0.097,78.0,254.4,87.75,103.5,33.0,38.0,11.63,3.3,18.0,6.3,79.25,9.0,9.5,3.26
165,8730240.0,,,,,,,,,,,,,,,,,,,,,
166,2063280.0,1999-06-19,76.0,194.0,10.8,1.4,1.6,0.136,75.5,190.8,78.75,99.5,28.0,35.5,10.59,3.27,,7.5,77.5,8.25,8.5,3.14
167,14375000.0,,,,,,,,77.75,202.8,86.25,102.5,34.5,37.0,11.09,3.32,7.0,5.7,78.75,9.0,8.75,3.12
168,1620564.0,1989-07-01,76.0,195.0,6.1,1.6,2.9,0.077,,,,,,,,,,,,,,
169,4821429.0,1996-02-06,81.0,222.0,3.9,1.6,4.2,0.093,80.0,222.4,87.5,110.0,,,,,,11.9,81.25,9.5,9.25,
170,35361360.0,1990-02-08,78.0,215.0,21.5,2.4,3.8,0.103,77.75,205.6,81.0,103.5,26.5,31.5,10.99,3.24,5.0,8.0,79.25,8.75,9.25,
171,1517981.0,,,,,,,,,,,,,,,,,,,,,
172,666667.0,1985-09-11,79.0,192.0,6.3,3.0,2.4,,78.25,186.0,83.0,105.5,26.5,30.0,10.72,3.23,,6.7,79.5,,,
173,43006362.0,1988-03-14,75.0,185.0,29.0,6.2,5.3,0.176,74.0,181.0,75.5,97.0,29.5,35.5,11.07,3.28,10.0,5.7,75.25,,,
174,5635000.0,1990-11-26,75.0,180.0,8.5,1.4,1.8,0.062,74.0,180.4,79.25,98.5,31.5,37.5,11.47,3.14,2.0,4.0,75.25,8.25,9.5,
175,2283034.0,1993-02-11,75.0,195.0,6.6,0.9,2.2,0.05,75.5,189.2,79.75,100.5,32.5,42.0,11.87,3.27,6.0,5.0,76.75,8.75,9.5,3.11
176,361256.0,1995-09-21,81.0,218.0,2.8,0.2,2.3,0.113,,,,,,,,,,,,,,
177,1517981.0,1997-07-23,69.0,180.0,4.9,0.8,0.9,,,,,,,,,,,,,,,
178,13015874.0,1995-09-27,82.0,214.0,21.9,1.4,9.8,0.169,81.25,216.0,87.25,111.5,,,,,,14.7,82.5,9.25,10.75,
179,9600000.0,1995-07-13,77.0,214.0,3.8,2.2,2.8,0.058,76.5,196.3,81.5,103.0,31.5,34.5,10.75,3.19,,6.4,78.0,8.5,9.5,2.88
180,3717000.0,,,,,,,,,,,,,,,,,,,,,
181,1445697.0,1997-08-30,77.0,230.0,3.9,0.3,1.6,0.036,76.0,215.6,83.25,104.0,,,,,,3.9,77.0,9.5,10.25,
182,1824003.0,1993-01-14,77.0,219.0,9.2,1.0,3.9,0.089,,,,,,,,,,,,,,
183,1620564.0,1990-08-13,82.0,270.0,9.6,2.4,7.6,0.127,81.5,291.8,89.75,113.0,23.5,27.5,11.4,3.55,,16.4,82.75,9.25,10.0,
184,6666667.0,,,,,,,,,,,,,,,,,,,,,
185,4548280.0,,,,,,,,,,,,,,,,,,,,,
186,16869276.0,1988-12-25,75.0,215.0,17.8,2.6,2.1,0.097,74.0,222.0,81.0,99.0,32.0,40.0,10.81,3.01,15.0,8.2,75.25,,,
187,1445697.0,,,,,,,,,,,,,,,,,,,,,
188,50000.0,1992-10-09,76.0,198.0,6.1,2.9,1.9,,75.25,198.0,79.5,100.0,,,,,,5.6,76.25,8.25,8.5,
189,41254920.0,1990-09-06,75.0,210.0,21.1,6.3,3.5,0.118,74.75,195.6,81.25,101.5,30.0,39.0,10.84,3.14,,5.6,76.0,8.25,9.5,
190,12819649.0,1991-04-19,83.0,240.0,10.0,2.1,6.1,0.087,82.75,234.0,81.75,108.0,24.5,29.5,11.42,3.59,5.0,6.65,84.0,8.5,10.0,2.99
191,1717981.0,,,,,,,,,,,,,,,,,,,,,
192,898310.0,,,,,,,,,,,,,,,,,,,,,
193,61528.0,,,,,,,,75.75,207.2,79.0,102.5,24.0,31.0,10.6,3.33,,8.9,77.7,8.75,8.5,2.49
194,1620564.0,1995-02-10,77.0,219.0,7.6,1.6,4.5,0.082,,,,,,,,,,,,,,
195,122741.0,1994-12-30,79.0,218.0,6.0,0.7,2.7,,77.75,217.8,80.25,102.0,30.0,36.0,10.72,3.35,,10.0,78.75,8.25,9.25,3.08
196,2345640.0,1996-09-30,72.0,185.0,6.9,1.7,1.2,0.045,71.75,187.0,79.5,97.0,25.5,33.0,10.96,3.27,,6.4,72.75,8.75,8.5,3.22
197,16203704.0,1994-08-25,78.0,205.0,17.3,5.3,4.2,0.115,77.75,191.0,82.0,101.0,,,,,,7.55,79.0,8.5,9.25,
198,19800000.0,1996-05-03,83.0,240.0,20.2,6.2,11.2,0.144,,,,,,,,,,,,,,
199,7333333.0,1992-01-03,79.0,225.0,13.6,1.4,3.9,0.096,78.25,218.0,81.25,103.0,28.5,36.5,11.1,3.29,,7.1,79.75,8.75,9.75,3.15
200,2160000.0,1995-12-31,76.0,196.0,4.9,0.4,1.4,0.06,76.0,176.4,81.0,102.5,,,,,,8.3,77.75,8.25,9.0,
