,namePlayer,value,BIRTHDATE,HEIGHT,WEIGHT,DRAFT_YEAR,POSITION,DRAFT_NUMBER,PTS,AST,REB,PIE
34,Iman Shumpert,447155.0,1990-06-26,77.0,212.0,2011,Guard,17,1.0,0.0,0.5,-0.011
35,James Harden,41254920.0,1989-08-26,77.0,220.0,2009,Guard,3,25.3,11.2,7.9,0.17
36,Jeff Green,1620564.0,1986-08-28,80.0,235.0,2007,Forward,5,9.8,1.5,3.8,0.073
37,Joe Harris,16071429.0,1991-09-06,78.0,220.0,2014,Guard-Forward,33,14.7,1.8,3.5,0.085
38,Kevin Durant,40108950.0,1988-09-29,82.0,240.0,2007,Forward,2,29.0,5.3,7.3,0.163
39,Kyrie Irving,33460350.0,1992-03-23,74.0,195.0,2011,Guard,1,28.1,5.7,4.8,0.15
40,LaMarcus Aldridge,554988.0,1985-07-19,83.0,250.0,2006,Center-Forward,2,13.7,1.7,4.5,0.096
41,LaMarcus Aldridge,16750000.0,1985-07-19,83.0,250.0,2006,Center-Forward,2,13.7,1.7,4.5,0.096
42,Landry Shamet,2090040.0,1997-03-13,76.0,190.0,2018,Guard,26,7.8,1.1,1.8,0.059
43,Nicolas Claxton,1517981.0,1999-04-17,83.0,215.0,2019,Forward-Center,31,9.8,0.9,4.3,0.143
44,Noah Vonleh,263995.0,1995-08-24,82.0,257.0,2014,Forward,9,0.0,0.3,0.3,-0.094
45,Norvel Pelle,217845.0,1993-02-03,82.0,231.0,Undrafted,Center,Undrafted,2.3,0.3,2.0,-0.012
46,Norvel Pelle,99020.0,1993-02-03,82.0,231.0,Undrafted,Center,Undrafted,2.3,0.3,2.0,-0.012
47,Norvel Pelle,99020.0,1993-02-03,82.0,231.0,Undrafted,Center,Undrafted,2.3,0.3,2.0,-0.012
48,Spencer Dinwiddie,11454048.0,1993-04-06,77.0,215.0,2014,Guard,38,6.7,3.0,4.3,0.102
49,Tyler Cook,99020.0,1997-09-23,80.0,255.0,Undrafted,Forward,Undrafted,0.7,0.3,1.5,0.037
50,Tyler Johnson,1620564.0,1992-05-07,75.0,186.0,Undrafted,Guard,Undrafted,5.2,0.9,1.8,0.065
51,Bismack Biyombo,3500000.0,1992-08-28,80.0,255.0,2011,Center,7,5.5,1.3,5.5,0.067
52,Brad Wanamaker,2250000.0,1989-07-25,75.0,210.0,Undrafted,Guard,Undrafted,4.7,2.5,1.7,0.07
53,Caleb Martin,1517981.0,1995-09-28,77.0,205.0,Undrafted,Forward,Undrafted,5.3,1.1,2.6,0.076
54,Cody Martin,1517981.0,1995-09-28,77.0,205.0,2019,Forward,36,3.8,1.2,2.4,0.091
55,Cody Zeller,15415730.0,1992-10-05,83.0,240.0,2013,Forward-Center,4,9.2,2.3,7.1,0.101
56,Devonte' Graham,1663861.0,1995-02-22,73.0,195.0,2018,Guard,34,13.1,5.2,2.7,0.09
57,Gordon Hayward,28500000.0,1990-03-23,79.0,225.0,2010,Forward,9,20.4,4.2,5.6,0.125
58,Jalen McDaniels,1517981.0,1998-01-31,81.0,205.0,2019,Forward-Center,52,4.5,0.5,2.4,0.049
59,Malik Monk,5345687.0,1998-02-04,75.0,200.0,2017,Guard,11,12.3,1.8,2.7,0.093
60,Miles Bridges,3934320.0,1998-03-21,78.0,225.0,2018,Forward,12,9.6,2.0,5.6,0.088
61,Nicolas Batum,9043478.0,1988-12-14,80.0,230.0,2008,Guard-Forward,25,8.6,2.3,4.7,0.086
62,Nicolas Batum,1620564.0,1988-12-14,80.0,230.0,2008,Guard-Forward,25,8.6,2.3,4.7,0.086
63,Terry Rozier,18900000.0,1994-03-17,73.0,190.0,2015,Guard,16,20.2,3.3,3.8,0.112
64,Coby White,5572680.0,2000-02-16,77.0,195.0,2019,Guard,7,15.2,4.7,4.6,0.087
65,Cristiano Felicio,7529020.0,1992-07-07,83.0,270.0,Undrafted,Forward-Center,Undrafted,1.6,0.7,1.7,0.166
66,Daniel Theis,5000000.0,1992-04-04,80.0,245.0,Undrafted,Forward-Center,Undrafted,9.4,1.6,5.3,0.094
67,Denzel Valentine,4642800.0,1993-11-16,76.0,220.0,2016,Guard,14,7.4,1.7,3.9,0.095
68,Garrett Temple,4767000.0,1986-05-08,77.0,195.0,Undrafted,Guard-Forward,Undrafted,8.5,2.0,3.1,0.056
69,Javonte Green,1517981.0,1993-07-23,76.0,205.0,Undrafted,Guard-Forward,Undrafted,4.2,0.4,2.1,0.069
70,Lauri Markkanen,6731508.0,1997-05-22,84.0,240.0,2017,Forward-Center,7,17.7,0.9,6.0,0.112
71,Nikola Vucevic,26000000.0,1990-10-24,83.0,260.0,2011,Center,16,24.5,3.8,11.7,0.172
72,Ryan Arcidiacono,3000000.0,1994-03-26,75.0,195.0,Undrafted,Guard,Undrafted,3.2,1.2,1.6,0.071
73,Thaddeus Young,13545000.0,1988-06-21,80.0,235.0,2007,Forward,12,12.2,4.4,6.5,0.131
74,Tomas Satoransky,10000000.0,1991-10-30,79.0,210.0,2012,Guard,32,7.5,4.8,2.5,0.102
75,Zach LaVine,19500000.0,1995-03-10,77.0,200.0,2014,Guard-Forward,13,28.2,4.9,5.1,0.146
76,Andre Drummond,27957238.0,1993-08-10,82.0,279.0,2012,Center,9,17.5,2.6,13.5,0.153
77,Andre Drummond,554988.0,1993-08-10,82.0,279.0,2012,Center,9,17.5,2.6,13.5,0.153
78,Cedi Osman,8840580.0,1995-04-08,79.0,230.0,2015,Forward,31,10.1,2.7,3.6,0.076
79,Collin Sexton,4991880.0,1999-01-04,73.0,190.0,2018,Guard,8,24.0,4.3,2.8,0.112
80,Damyean Dotson,2000000.0,1994-05-06,77.0,210.0,2017,Guard,44,6.7,2.2,1.9,0.077
81,Darius Garland,6720720.0,2000-01-26,73.0,192.0,2019,Guard,5,16.4,5.8,2.2,0.09
82,Dean Wade,1517981.0,1996-11-20,81.0,228.0,Undrafted,Forward-Center,Undrafted,4.1,0.8,2.3,0.083
83,Dylan Windler,2137440.0,1996-09-22,78.0,196.0,2019,Guard-Forward,26,5.4,1.1,3.6,0.087
84,Isaiah Hartenstein,1620564.0,1998-05-05,84.0,250.0,2017,Center-Forward,43,3.5,0.5,2.8,0.077
85,Jarrett Allen,3909902.0,1998-04-21,83.0,243.0,2017,Center,22,12.9,1.6,9.9,0.147
86,JR Smith,1456667.0,1985-09-09,78.0,220.0,2004,Guard,18,12.4,2.1,3.1,
87,Kevin Love,31258256.0,1988-09-07,80.0,251.0,2008,Forward-Center,5,5.8,1.3,3.3,0.074
88,Matthew Dellavedova,1620564.0,1990-09-08,75.0,200.0,Undrafted,Guard,Undrafted,3.1,3.2,1.3,0.059
89,Quinn Cook,110998.0,1993-03-23,73.0,180.0,Undrafted,Guard,Undrafted,2.9,0.7,0.7,0.095
90,Quinn Cook,1000000.0,1993-03-23,73.0,180.0,Undrafted,Guard,Undrafted,2.9,0.7,0.7,0.095
91,Rayjon Tucker,340000.0,1997-09-24,75.0,209.0,Undrafted,Guard,Undrafted,4.0,1.0,0.0,-1.5
92,Taurean Prince,12250000.0,1994-03-22,79.0,218.0,2016,Forward,12,8.3,1.7,3.6,0.076
93,Thon Maker,309355.0,1997-02-25,84.0,221.0,2016,Forward-Center,10,3.8,0.5,2.3,0.134
94,Yogi Ferrell,110998.0,1993-05-09,72.0,178.0,Undrafted,Guard,Undrafted,9.5,2.5,3.5,0.071
95,Boban Marjanovic,3500000.0,1988-08-15,88.0,290.0,Undrafted,Center,Undrafted,4.4,0.2,3.9,0.15
96,Dwight Powell,11080125.0,1991-07-20,82.0,240.0,2014,Forward-Center,45,4.4,0.8,3.3,0.074
97,Jalen Brunson,1663861.0,1996-08-31,73.0,190.0,2018,Guard,33,12.2,3.2,3.4,0.125
98,JJ Redick,13013700.0,1984-06-24,75.0,200.0,2006,Guard,11,8.7,1.3,1.7,0.071
99,Josh Richardson,10865952.0,1993-09-15,77.0,200.0,2015,Guard,40,13.3,2.7,3.3,0.075
100,Kristaps Porzingis,29467800.0,1995-08-02,87.0,240.0,2015,Forward-Center,4,19.7,1.3,8.6,0.131
101,Luka Doncic,8049360.0,1999-02-28,79.0,230.0,2018,Forward-Guard,3,29.0,9.2,8.4,0.187
102,Maxi Kleber,8325000.0,1992-01-29,82.0,240.0,Undrafted,Forward,Undrafted,7.8,1.4,5.4,0.082
103,Nicolo Melli,3897436.0,1991-01-26,81.0,236.0,Undrafted,Forward,Undrafted,2.0,1.1,2.6,0.058
104,Trey Burke,3000000.0,1992-11-12,72.0,185.0,2013,Guard,9,7.0,1.5,0.9,0.083
105,Aaron Gordon,18136364.0,1995-09-16,80.0,235.0,2014,Forward,4,14.6,4.3,6.6,0.11
106,Gary Clark,2000000.0,1994-11-16,78.0,225.0,Undrafted,Forward,Undrafted,3.4,0.9,3.2,0.044
107,Jamal Murray,27285000.0,1997-02-23,75.0,215.0,2016,Guard,7,21.1,4.8,4.0,0.115
108,JaMychal Green,7199760.0,1990-06-21,80.0,227.0,Undrafted,Forward-Center,Undrafted,8.7,0.8,5.5,0.095
109,JaVale McGee,4200000.0,1988-01-19,84.0,270.0,2008,Center-Forward,18,8.0,1.0,5.2,0.126
110,Monte Morris,1723707.0,1995-06-27,74.0,183.0,2017,Guard,51,10.4,3.4,2.2,0.089
111,Nikola Jokic,29542010.0,1995-02-19,83.0,284.0,2014,Center,41,27.1,8.6,11.3,0.205
112,Paul Millsap,10000000.0,1985-02-10,79.0,257.0,2006,Forward,47,9.5,1.6,5.0,0.09
113,PJ Dozier,1762796.0,1996-10-25,78.0,205.0,Undrafted,Guard-Forward,Undrafted,7.7,1.6,3.8,0.087
114,Vlatko Cancar,1517981.0,1997-04-10,80.0,236.0,2017,Forward,49,1.4,0.3,1.2,0.056
115,Will Barton,13723214.0,1991-01-06,78.0,181.0,2012,Guard,40,13.0,3.2,4.1,0.081
116,Cory Joseph,12600000.0,1991-08-20,75.0,200.0,2011,Guard,29,6.7,2.4,2.2,0.058
117,Dewayne Dedmon,2866667.0,1989-08-12,84.0,245.0,Undrafted,Center,Undrafted,6.4,0.7,6.0,
118,Dzanan Musa,2002800.0,1999-05-08,81.0,217.0,2018,Guard-Forward,29,4.3,0.9,1.9,
119,Hamidou Diallo,1663861.0,1998-07-31,77.0,202.0,2018,Guard,45,11.9,2.4,5.2,0.103
120,Jahlil Okafor,1882867.0,1995-12-15,82.0,270.0,2015,Center-Forward,3,4.3,0.3,2.3,0.1
121,Jerami Grant,19050000.0,1994-03-12,80.0,210.0,2014,Forward,39,23.3,2.8,5.0,0.117
122,Josh Jackson,4767000.0,1997-02-10,80.0,207.0,2017,Guard-Forward,4,13.2,2.1,4.2,0.085
123,Mason Plumlee,8000000.0,1990-03-05,83.0,254.0,2013,Forward-Center,22,10.3,3.6,9.5,0.124
124,Rodney McGruder,5192307.0,1991-07-29,76.0,205.0,Undrafted,Guard,Undrafted,5.6,1.0,1.4,0.092
125,Sekou Doumbouya,3449400.0,2000-12-23,80.0,230.0,2019,Forward,15,3.9,0.6,2.2,0.036
126,Wayne Ellington,1620564.0,1987-11-29,76.0,207.0,2009,Guard,28,10.6,1.4,1.8,0.073
127,Wayne Ellington,1000000.0,1987-11-29,76.0,207.0,2009,Guard,28,10.6,1.4,1.8,0.073
128,Zhaire Smith,1068200.0,1999-06-04,75.0,205.0,2018,Guard,16,3.7,0.9,1.2,
129,Alen Smailagic,1517981.0,2000-08-18,82.0,215.0,2019,Forward,39,1.7,0.0,0.0,-0.197
130,Andrew Wiggins,29542010.0,1995-02-23,79.0,197.0,2014,Forward,1,17.7,2.1,4.6,0.095
131,Damion Lee,1762796.0,1992-10-21,77.0,210.0,Undrafted,Guard-Forward,Undrafted,6.7,1.4,3.3,0.095
132,Draymond Green,22246956.0,1990-03-04,78.0,230.0,2012,Forward,35,6.1,8.4,6.6,0.097
133,Eric Paschall,1517981.0,1996-11-04,78.0,255.0,2019,Forward,41,9.5,1.3,3.2,0.097
134,Jordan Poole,2063280.0,1999-06-19,76.0,194.0,2019,Guard,28,10.8,1.4,1.6,0.136
135,Kent Bazemore,1620564.0,1989-07-01,76.0,195.0,Undrafted,Guard-Forward,Undrafted,6.1,1.6,2.9,0.077
136,Kevon Looney,4821429.0,1996-02-06,81.0,222.0,2015,Forward,30,3.9,1.6,4.2,0.093
137,Klay Thompson,35361360.0,1990-02-08,78.0,215.0,2011,Guard,11,21.5,2.4,3.8,0.103
138,Shaun Livingston,666667.0,1985-09-11,79.0,192.0,2004,Guard,4,6.3,3.0,2.4,
139,Stephen Curry,43006362.0,1988-03-14,75.0,185.0,2009,Guard,7,29.0,6.2,5.3,0.176
140,Avery Bradley,5635000.0,1990-11-26,75.0,180.0,2010,Guard,19,8.5,1.4,1.8,0.062
141,Ben McLemore,2283034.0,1993-02-11,75.0,195.0,2013,Guard,7,6.6,0.9,2.2,0.05
142,Ben McLemore,455090.0,1993-02-11,75.0,195.0,2013,Guard,7,6.6,0.9,2.2,0.05
143,Bruno Caboclo,361256.0,1995-09-21,81.0,218.0,2014,Forward,20,2.8,0.2,2.3,0.113
144,Chris Clemons,1517981.0,1997-07-23,69.0,180.0,Undrafted,Guard,Undrafted,4.9,0.8,0.9,
145,Christian Wood,13015874.0,1995-09-27,82.0,214.0,Undrafted,Forward,Undrafted,21.9,1.4,9.8,0.169
146,Dante Exum,9600000.0,1995-07-13,77.0,214.0,2014,Guard,5,3.8,2.2,2.8,0.058
147,DaQuan Jeffries,1445697.0,1997-08-30,77.0,230.0,Undrafted,Guard-Forward,Undrafted,3.9,0.3,1.6,0.036
148,David Nwaba,1824003.0,1993-01-14,77.0,219.0,Undrafted,Guard-Forward,Undrafted,9.2,1.0,3.9,0.089
149,DeMarcus Cousins,1620564.0,1990-08-13,82.0,270.0,2010,Center,5,9.6,2.4,7.6,0.127
150,DeMarcus Cousins,110998.0,1990-08-13,82.0,270.0,2010,Center,5,9.6,2.4,7.6,0.127
151,Eric Gordon,16869276.0,1988-12-25,75.0,215.0,2008,Guard,7,17.8,2.6,2.1,0.097
152,Jerian Grant,50000.0,1992-10-09,76.0,198.0,2015,Guard,19,6.1,2.9,1.9,
153,John Wall,41254920.0,1990-09-06,75.0,210.0,2010,Guard,1,21.1,6.3,3.5,0.118
154,Kelly Olynyk,12819649.0,1991-04-19,83.0,240.0,2013,Forward-Center,13,10.0,2.1,6.1,0.087
155,Sterling Brown,1620564.0,1995-02-10,77.0,219.0,2017,Guard-Forward,46,7.6,1.6,4.5,0.082
156,Troy Williams,122741.0,1994-12-30,79.0,218.0,Undrafted,Forward,Undrafted,6.0,0.7,2.7,
157,Aaron Holiday,2345640.0,1996-09-30,72.0,185.0,2018,Guard,23,6.9,1.7,1.2,0.045
158,Caris LeVert,16203704.0,1994-08-25,78.0,205.0,2016,Guard,20,17.3,5.3,4.2,0.115
159,Domantas Sabonis,19800000.0,1996-05-03,83.0,240.0,2016,Forward-Center,11,20.2,6.2,11.2,0.144
160,Doug McDermott,7333333.0,1992-01-03,79.0,225.0,2014,Forward,11,13.6,1.4,3.9,0.096
161,Edmond Sumner,2160000.0,1995-12-31,76.0,196.0,2017,Guard,52,4.9,0.4,1.4,0.06
162,Goga Bitadze,2957520.0,1999-07-20,83.0,250.0,2019,Center-Forward,18,3.8,0.3,2.2,0.071
163,JaKarr Sampson,1620564.0,1993-03-20,79.0,214.0,Undrafted,Forward,Undrafted,2.6,0.1,1.9,0.088
164,Jalen Lecque,1517981.0,2000-06-13,76.0,185.0,Undrafted,Guard,Undrafted,1.3,0.5,1.3,0.12
165,Jeremy Lamb,10500000.0,1992-05-30,77.0,180.0,2012,Guard-Forward,12,11.1,1.6,3.6,0.104
166,Justin Holiday,5720400.0,1989-04-05,78.0,180.0,Undrafted,Forward-Guard,Undrafted,11.6,1.7,3.9,0.072
167,Kelan Martin,1445697.0,1995-08-03,77.0,230.0,Undrafted,Forward,Undrafted,1.3,0.1,0.9,0.066
168,Malcolm Brogdon,20700000.0,1992-12-11,77.0,229.0,2016,Guard,36,21.6,6.1,4.7,0.125
169,Monta Ellis,2245400.0,1985-10-26,75.0,185.0,2005,Guard,40,17.8,4.6,3.5,
170,Myles Turner,18000000.0,1996-03-24,83.0,250.0,2015,Center-Forward,11,13.2,1.0,6.5,0.094
171,Oshae Brissett,99020.0,1998-06-20,79.0,210.0,Undrafted,Forward-Guard,Undrafted,1.9,0.4,1.4,
172,Oshae Brissett,300000.0,1998-06-20,79.0,210.0,Undrafted,Forward-Guard,Undrafted,1.9,0.4,1.4,
173,Ivica Zubac,7000000.0,1997-03-18,84.0,240.0,2016,Center,32,8.5,1.1,7.0,0.126
174,Kawhi Leonard,34379100.0,1991-06-29,79.0,225.0,2011,Forward,15,25.9,4.9,6.3,0.169
175,Luke Kennard,5273826.0,1996-06-24,77.0,206.0,2017,Guard,12,8.0,1.8,2.7,0.087
176,Patrick Beverley,13333333.0,1988-07-12,73.0,180.0,2009,Guard,42,8.3,2.1,3.7,0.072
177,Patrick Patterson,3077704.0,1989-03-14,80.0,235.0,2010,Forward,14,4.7,0.5,2.0,0.06
178,Patrick Patterson,737067.0,1989-03-14,80.0,235.0,2010,Forward,14,4.7,0.5,2.0,0.06
179,Paul George,35450412.0,1990-05-02,80.0,220.0,2010,Forward,10,22.5,5.5,6.0,0.144
180,Rajon Rondo,8250000.0,1986-02-22,73.0,180.0,2006,Guard,21,3.9,3.5,2.0,0.095
181,Reggie Jackson,1620564.0,1990-04-16,74.0,208.0,2011,Guard,24,8.7,2.8,2.6,0.082
182,Serge Ibaka,9258000.0,1989-09-18,82.0,235.0,2008,Forward,24,10.9,1.7,6.7,0.112
183,Terance Mann,1517981.0,1996-10-18,77.0,215.0,2019,Guard-Forward,48,5.3,1.2,3.4,0.08
184,Alex Caruso,2750000.0,1994-02-28,76.0,186.0,Undrafted,Guard,Undrafted,5.8,2.4,2.9,0.08
185,Alfonzo McKinnie,1762796.0,1992-09-17,79.0,215.0,Undrafted,Forward,Undrafted,2.5,0.1,1.1,0.103
186,Anthony Davis,32742000.0,1993-03-11,82.0,253.0,2012,Forward-Center,1,22.5,3.0,8.4,0.163
187,Damian Jones,110998.0,1995-06-30,83.0,245.0,2016,Center,30,3.0,0.2,2.0,0.062
188,Damian Jones,785285.0,1995-06-30,83.0,245.0,2016,Center,30,3.0,0.2,2.0,0.062
189,Dennis Schroder,16000000.0,1993-09-15,75.0,172.0,2013,Guard,17,15.0,4.7,3.5,0.086
190,Jared Dudley,1620564.0,1985-07-10,78.0,237.0,2007,Forward,22,0.5,0.5,1.7,0.057
191,Jordan Bell,580062.0,1995-01-07,80.0,216.0,2017,Forward,38,3.3,1.7,5.3,0.074
192,Jordan Bell,110998.0,1995-01-07,80.0,216.0,2017,Forward,38,3.3,1.7,5.3,0.074
193,Kyle Kuzma,3562178.0,1995-07-24,82.0,221.0,2017,Forward,27,12.1,1.5,6.7,0.1
194,LeBron James,39219566.0,1984-12-30,81.0,250.0,2003,Forward,1,25.4,7.9,7.9,0.194
195,Luol Deng,5000000.0,1985-04-16,81.0,237.0,2004,Forward,7,14.8,2.3,6.1,
196,Marc Gasol,2564753.0,1985-01-29,83.0,255.0,2007,Center,48,4.8,2.0,4.1,0.071
197,Markieff Morris,1620564.0,1989-09-02,81.0,245.0,2011,Forward,13,6.1,1.1,4.2,0.078
198,Montrezl Harrell,9258000.0,1994-01-26,79.0,240.0,2015,Forward-Center,32,14.8,1.1,6.6,0.153
199,Wesley Matthews,3623000.0,1986-10-14,76.0,220.0,Undrafted,Guard,Undrafted,4.5,1.0,1.4,0.035
200,Brandon Clarke,2602920.0,1996-09-19,80.0,215.0,2019,Forward,21,11.8,1.5,5.5,0.11
201,Dakari Johnson,459414.0,1995-09-22,84.0,255.0,2015,Center,48,1.8,0.3,1.1,
202,De'Anthony Melton,9571712.0,1998-05-28,74.0,200.0,2018,Guard,46,9.6,2.9,3.4,0.115
203,Dillon Brooks,11400000.0,1996-01-22,79.0,225.0,2017,Guard-Forward,45,15.8,2.6,3.0,0.058
204,Dion Waiters,12650000.0,1991-12-10,75.0,210.0,2012,Guard,4,13.1,2.8,2.6,
205,Gorgui Dieng,16587688.0,1990-01-18,82.0,252.0,2013,Center,21,7.9,1.3,4.5,0.124
206,Gorgui Dieng,1000000.0,1990-01-18,82.0,252.0,2013,Center,21,7.9,1.3,4.5,0.124
207,Grayson Allen,2545320.0,1995-10-08,76.0,198.0,2018,Guard,21,9.5,2.1,3.1,0.085
208,Ja Morant,9166800.0,1999-08-10,75.0,174.0,2019,Guard,2,19.3,7.5,3.3,0.114
209,John Konchar,2100000.0,1996-03-22,77.0,210.0,Undrafted,Guard,Undrafted,4.0,1.1,3.3,0.082
210,Jonas Valanciunas,15000000.0,1992-05-06,83.0,265.0,2011,Center,5,15.9,1.8,12.3,0.152
211,Justise Winslow,13000000.0,1996-03-26,78.0,222.0,2015,Forward-Guard,10,7.8,1.8,4.9,0.053
212,Kyle Anderson,9505100.0,1993-09-20,81.0,230.0,2014,Forward-Guard,30,12.8,3.4,5.8,0.124
213,Mario Hezonja,1977011.0,1995-02-25,80.0,220.0,2015,Forward-Guard,5,6.9,1.3,3.1,
214,Marko Guduric,2750000.0,1995-03-08,78.0,201.0,Undrafted,Guard,Undrafted,3.9,1.0,1.7,
215,Tim Frazier,110998.0,1990-11-01,72.0,170.0,Undrafted,Guard,Undrafted,1.3,2.3,1.3,0.031
216,Tyus Jones,8817143.0,1996-05-10,72.0,196.0,2015,Guard,24,7.5,4.3,2.2,0.114
217,AJ Hammons,350087.0,1992-08-27,84.0,260.0,2016,Center,46,2.2,0.2,1.6,
218,Andre Iguodala,15000000.0,1984-01-28,78.0,215.0,2004,Guard-Forward,9,4.7,2.1,3.6,0.081
219,Bam Adebayo,5115492.0,1997-07-18,81.0,255.0,2017,Center-Forward,14,19.2,5.4,9.5,0.167
220,Duncan Robinson,1663861.0,1994-04-22,79.0,215.0,Undrafted,Forward,Undrafted,12.5,1.7,3.8,0.07
221,Goran Dragic,18000000.0,1986-05-06,75.0,190.0,2008,Guard,45,13.9,4.9,3.3,0.102
222,Jimmy Butler,34379100.0,1989-09-14,79.0,230.0,2011,Forward,30,21.3,7.3,7.9,0.19
223,Kendrick Nunn,1663861.0,1995-08-03,74.0,190.0,Undrafted,Guard,Undrafted,13.3,2.6,3.2,0.09
224,KZ Okpala,1517981.0,1999-04-28,80.0,215.0,2019,Forward-Guard,32,2.7,0.4,2.0,0.025
225,Nemanja Bjelica,7150000.0,1988-05-09,82.0,234.0,2010,Forward,35,7.2,1.9,3.8,0.089
226,Ryan Anderson,5214583.0,1988-05-06,81.0,240.0,2008,Forward,21,12.3,0.9,5.3,
227,Trevor Ariza,12800000.0,1985-06-30,80.0,215.0,2004,Forward,43,4.0,1.0,3.3,0.056
228,Tyler Herro,3822240.0,2000-01-20,77.0,195.0,2019,Guard,13,15.1,3.4,5.4,0.099
229,Udonis Haslem,1620564.0,1980-06-09,80.0,235.0,Undrafted,Forward,Undrafted,3.0,0.3,4.0,0.105
230,Victor Oladipo,21000000.0,1992-05-04,76.0,213.0,2013,Guard,2,20.8,4.7,5.0,0.116
231,Bobby Portis,3623000.0,1995-02-10,82.0,250.0,2015,Forward,22,10.8,1.1,6.9,0.127
232,Brook Lopez,12697675.0,1988-04-01,84.0,282.0,2008,Center,10,11.4,0.7,5.0,0.078
233,Bryn Forbes,2337145.0,1993-07-23,74.0,205.0,Undrafted,Guard,Undrafted,9.5,0.6,1.2,0.068
234,Giannis Antetokounmpo,27528088.0,1994-12-06,83.0,242.0,2013,Forward,15,29.0,6.4,11.7,0.196
235,Jeff Teague,510589.0,1988-06-10,75.0,195.0,2009,Guard,19,6.6,2.2,1.6,0.068
